vip,title,year,kms,city,province,transmission,price
28602853,2014 Subaru Outback 5dr Wgn Auto 3.6R,2014,175852.0,Toronto,ON,Automatic,15500.0
25729589,2019 Subaru Outback 3.6R Limited,2019,133627.0,Greenwood,NS,Automatic,27998.0
29036274,2014 Subaru Outback 2.5 limited,2014,195000.0,-,QC,,12500.0
29044145,1998 Subaru Outback,1998,321000.0,-,AB,,2699.0
28654318,"2019 Subaru Outback LIMITED ; SUNROOF, AWD, HEATED SEATS/WHEEL, LEATHER, NAV, HARMON/KARDON, BACKUP CAMERA, BUTTON START, ANDROID AUTO, APPLE CARPLA",2019,52332.0,Langley,BC,Automatic,34997.0
27227379,2016 Subaru Outback Avec,2016,195294.0,Saint-Jérôme,QC,Automatic,13995.0
28599351,2017 Subaru Outback 2.5i Touring w/Tech Pkg | SUNROOF | BACKUP CAMERA | ROOF RAILS |,2017,70316.0,Winnipeg,MB,Automatic,28946.0
28545708,2014 Subaru Outback 2.5I CONVENIENCE 4D,2014,205449.0,Lachine,QC,Manual,10995.0
28939164,2003 Subaru Outback Base,2003,153913.0,Edmonton,AB,Manual,11000.0
28734638,2011 Subaru Outback 2.5i Premium,2011,187579.0,Mirabel,QC,Automatic,10995.0
28986540,2023 Subaru Outback 2.4L Wilderness Turbo,2023,8980.0,Guelph,ON,Automatic,48800.0
28985366,2021 Subaru Outback Limited XT 2.4L AWD | SUNROOF | NAV | 26K | LTHR,2021,26707.0,Georgetown,ON,Automatic,43950.0
29043238,2011 Subaru Outback 2.5i Prem,2011,284250.0,Lower Sackville,NS,Automatic,4995.0
28920218,2012 Subaru Outback Touring AWD CLEAN CARFAX!,2012,193334.0,Halifax,NS,Manual,5990.0
29047184,2020 Subaru Outback Limited XT Cuir Navi Harmon Kardon,2020,42515.0,Sainte-Julie,QC,Automatic,35995.0
29045525,2018 Subaru Outback Touring,2018,97870.0,Laval,QC,Automatic,25995.0
29045335,"2021 Subaru Outback LIMITED XT,CAMÉRA DE RECUL,BANC CHAUFFANT",2021,30457.0,Repentigny,QC,Automatic,38495.0
29039797,2020 Subaru Outback Convenience Eyesight,2020,49565.0,Montreal,QC,Automatic,28300.0
29039801,2019 Subaru Outback Touring,2019,95111.0,Montreal,QC,Automatic,23800.0
29038579,2019 Subaru Outback Touring AWD,2019,42275.0,Laval,QC,Automatic,29999.0
27888353,2018 Subaru Outback 2.5i,2018,62004.0,Kentville,NS,Automatic,27900.0
28897159,2020 Subaru Outback Premier |Apple CarPlay|Moonroof|Power Liftgate|,2020,62928.0,Ottawa,ON,Automatic,33558.0
29037052,2019 Subaru Outback 2.5i Touring w/ EyeSight at,2019,97424.0,Laval,QC,Automatic,24988.0
28990453,2011 Subaru Outback 3.6R w/Limited & Nav Pkg,2011,1.0,Toronto,ON,Automatic,9995.0
28082508,2016 Subaru Outback 3.6R w/Limited Pkg,2016,126527.0,Toronto,ON,Automatic,19000.0
28540047,"2013 Subaru Outback 2.5i Touring TOIT , BLUETOOTH",2013,217500.0,Dorval,QC,Automatic,7999.0
28646179,2015 Subaru Outback 5dr Wgn CVT 2.5i w/Limited,2015,51141.0,Scarborough,ON,CVT,19995.0
28998342,2005 Subaru Outback,2005,250000.0,-,ON,,1200.0
28548481,2022 Subaru Outback Wilderness CVT,2022,34394.0,Montreal,QC,CVT,39990.0
29016010,2015 Subaru Outback 3.6R Limited,2015,212238.0,Montréal,QC,Automatic,12995.0
28975830,2021 Subaru Outback 2.5L Touring,2021,27148.0,Guelph,ON,Automatic,40000.0
25002748,2011 Subaru Outback 2.5i/limited/leather/sunroof/back up camera,2011,164345.0,Calgary,AB,Automatic,14900.0
23394747,2018 Subaru Outback AWD Only 32000 Kms !,2018,32551.0,Ottawa,ON,Automatic,29888.0
25670098,2018 Subaru Outback 2.5i Premium,2018,16891.0,Pickering,ON,Automatic,24999.0
23988703,2018 Subaru Outback LTD NAV SUNROOF MINT! WE FINANCE ALL CREDIT!,2018,67480.0,London,ON,Automatic,34995.0
28975514,2022 Subaru Outback Wilderness | Leasing Available | Accident free,2022,24254.0,Winnipeg,MB,Automatic,45995.0
